Date (MM/DD/YYYY),Time (HH:mm:ss),Conc,Chlorophyll RFU,Chlorophyll ug/L,Depth m,fDOM QSU,fDOM RFU,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,pH,Temp °C
7/28/2021,10:44:00,0,0.24,0.96,0.148,24.36,8.07,91,9.56,30.9,48.456,-0.2,8.24,4.565
7/28/2021,10:46:00,0,0.24,0.93,0.151,24.59,8.14,91.3,9.54,30.97,48.516,-0.2,8.27,4.769
7/28/2021,10:48:00,0,0.24,0.96,0.156,24.74,8.19,91.9,9.54,30.98,48.491,-0.14,8.29,4.987
7/28/2021,10:50:00,0,0.22,0.88,0.156,25,8.28,92.7,9.52,31,48.436,-0.19,8.29,5.431
7/28/2021,10:52:00,0,0.23,0.92,0.156,24.6,8.15,93.7,9.51,31,48.347,-0.21,8.29,5.959
7/28/2021,10:54:00,0,0.27,1.08,0.156,24.44,8.1,94.8,9.49,31.03,48.299,-0.15,8.29,6.539
7/28/2021,10:56:00,0,0.25,1,0.157,24.39,8.08,96,9.48,31.02,48.212,-0.11,8.28,7.137
7/28/2021,10:58:00,0,0.22,0.87,0.157,24.43,8.09,97.2,9.47,31.02,48.134,-0.21,8.28,7.71
7/28/2021,11:00:00,0,0.26,1.02,0.156,24.25,8.03,98.3,9.45,31.03,48.071,-0.23,8.27,8.292
7/28/2021,11:02:00,0,0.24,0.94,0.157,24.13,7.99,99.5,9.44,31.03,48.02,-0.21,8.27,8.854
7/28/2021,11:04:00,0,0.25,1.01,0.157,24.1,7.98,100.8,9.46,31.01,47.933,-0.21,8.26,9.419
7/28/2021,11:06:00,0,0.24,0.96,0.156,24.16,8,102,9.44,31.03,47.902,-0.21,8.26,10.015
7/28/2021,11:08:00,0,0.21,0.82,0.156,24.01,7.95,103.3,9.44,31,47.811,-0.22,8.25,10.571
7/28/2021,11:10:00,0,0.24,0.93,0.156,23.94,7.93,104.3,9.42,31.03,47.812,-0.19,8.25,11.152
7/28/2021,11:12:00,0,0.24,0.94,0.156,24.58,8.14,105.7,9.42,31.03,47.769,-0.2,8.25,11.743
7/28/2021,11:14:00,0,0.22,0.88,0.156,23.77,7.87,106.8,9.42,31.08,47.805,-0.23,8.24,12.22
7/28/2021,11:16:00,0,0.24,0.95,0.156,23.72,7.85,108,9.41,31.01,47.679,-0.24,8.24,12.818
7/28/2021,11:18:00,0,0.21,0.82,0.156,23.78,7.87,109.1,9.4,31.03,47.682,-0.21,8.24,13.382
7/28/2021,11:20:00,0,0.22,0.86,0.157,23.49,7.78,110.1,9.39,31.02,47.642,-0.12,8.23,13.885
7/28/2021,11:22:00,0,0.2,0.8,0.156,23.54,7.8,111.4,9.39,31.02,47.63,-0.23,8.23,14.445
7/28/2021,11:24:00,0,0.24,0.97,0.156,23.91,7.92,112.7,9.4,31.04,47.629,-0.21,8.23,14.967
7/28/2021,11:26:00,0,0.2,0.78,0.156,23.37,7.74,113.8,9.4,31.02,47.588,-0.19,8.23,15.496
7/28/2021,11:28:00,0,0.2,0.78,0.157,23.21,7.68,114.8,9.39,31.06,47.637,-0.23,8.22,15.971
7/28/2021,11:30:00,0,0.22,0.85,0.157,23.22,7.69,115.5,9.34,31.04,47.601,-0.2,8.22,16.503
7/28/2021,11:32:00,0,0.21,0.83,0.156,23.14,7.66,116.9,9.36,31.04,47.59,-0.23,8.22,17.02
7/28/2021,11:34:00,0,0.2,0.8,0.157,22.92,7.59,117.4,9.32,31.02,47.564,-0.25,8.22,17.493
7/28/2021,11:36:00,0,0.2,0.77,0.156,23.23,7.69,118.4,9.31,31,47.529,-0.24,8.22,17.98
7/28/2021,11:38:00,0,0.22,0.85,0.156,23.13,7.66,119.6,9.32,31.01,47.532,-0.24,8.22,18.461
7/28/2021,11:40:00,0,0.21,0.82,0.156,23.05,7.63,120.3,9.28,31.03,47.56,-0.23,8.22,18.996
7/28/2021,11:42:00,0,0.18,0.69,0.156,22.96,7.6,121.3,9.29,31.01,47.537,-0.22,8.22,19.427
7/28/2021,11:44:00,0,0.21,0.82,0.156,22.83,7.56,122.3,9.28,31.03,47.573,-0.2,8.21,19.861
7/28/2021,11:46:00,0,0.17,0.66,0.155,22.77,7.54,123.1,9.27,31.05,47.599,-0.26,8.21,20.294
7/28/2021,11:48:00,0,0.19,0.76,0.155,22.79,7.55,124,9.26,31.04,47.59,-0.24,8.21,20.76
7/28/2021,11:50:00,0,0.21,0.83,0.156,23.04,7.63,124.9,9.25,31.01,47.557,-0.24,8.21,21.202
7/28/2021,11:52:00,0,0.21,0.84,0.155,22.54,7.46,126,9.26,31.04,47.601,-0.23,8.21,21.644
7/28/2021,11:54:00,0,0.17,0.66,0.156,22.59,7.48,126.8,9.25,31.04,47.607,-0.25,8.21,22.036
7/28/2021,11:56:00,0,0.19,0.76,0.157,22.62,7.49,128,9.25,31.06,47.643,-0.24,8.2,22.535
7/28/2021,11:58:00,0,0.18,0.69,0.156,22.46,7.43,128.8,9.24,31.04,47.625,-0.21,8.2,22.984
7/28/2021,12:00:00,0,0.19,0.75,0.156,22.69,7.51,129.5,9.22,31.03,47.62,-0.22,8.2,23.403
7/28/2021,12:02:00,0,0.18,0.71,0.157,22.4,7.42,130.5,9.23,31.04,47.651,-0.24,8.2,23.805
7/28/2021,12:04:00,0,0.17,0.66,0.158,22.3,7.38,131.5,9.23,31.06,47.681,-0.25,8.19,24.236
7/28/2021,12:06:00,0,0.17,0.66,0.156,22.36,7.4,132.2,9.21,31.05,47.683,-0.23,8.19,24.67
7/28/2021,12:08:00,0,0.17,0.65,0.156,22.31,7.39,132.9,9.2,31.05,47.702,-0.24,8.19,25.084
7/28/2021,12:10:00,0,0.17,0.67,0.156,22.17,7.34,133.7,9.18,31.06,47.723,-0.25,8.19,25.522
7/28/2021,12:12:00,0,0.15,0.6,0.157,22.02,7.29,134.4,9.16,31.04,47.703,-0.24,8.18,25.937
7/28/2021,12:14:00,0,0.19,0.74,0.156,22.05,7.3,135.4,9.16,31.04,47.728,-0.15,8.18,26.358
7/28/2021,12:16:00,0,0.17,0.67,0.156,22.02,7.29,136,9.14,31.06,47.759,-0.24,8.18,26.788
7/28/2021,12:18:00,0,0.17,0.65,0.157,21.96,7.27,136.9,9.14,31.06,47.777,-0.23,8.17,27.196
7/28/2021,12:20:00,0,0.17,0.66,0.156,22,7.28,137.8,9.12,31.07,47.815,-0.24,8.17,27.646
7/28/2021,12:22:00,0,0.17,0.65,0.156,21.83,7.22,138.6,9.13,31.07,47.822,-0.26,8.17,28.009
7/28/2021,12:24:00,0,0.15,0.59,0.157,22.03,7.29,139.2,9.1,31.08,47.854,-0.26,8.16,28.445
7/28/2021,12:26:00,0,0.15,0.59,0.156,21.91,7.25,139.7,9.08,31.08,47.871,-0.23,8.16,28.811
7/28/2021,12:28:00,0,0.17,0.66,0.155,21.75,7.2,140.5,9.07,31.1,47.919,-0.28,8.16,29.218
7/28/2021,12:30:00,0,0.16,0.62,0.155,21.76,7.2,140.9,9.04,31.09,47.924,-0.25,8.15,29.606
7/28/2021,12:32:00,0,0.18,0.71,0.154,21.92,7.26,141.5,9.03,31.09,47.938,-0.24,8.15,29.968
7/28/2021,7:24:00,0.25,1.06,4.26,0.164,24.41,8.08,97,10.1,30.21,47.376,0.71,8.05,5.105
7/28/2021,7:26:00,0.25,1.07,4.3,0.164,25.02,8.29,97.6,10.11,30.22,47.347,1.12,8.06,5.325
7/28/2021,7:28:00,0.25,1.12,4.51,0.165,25.67,8.5,98.2,10.09,30.25,47.335,0.83,8.06,5.679
7/28/2021,7:30:00,0.25,1.04,4.16,0.164,24.84,8.23,99.2,10.07,30.26,47.272,0.71,8.06,6.157
7/28/2021,7:32:00,0.25,1.13,4.52,0.164,24.47,8.11,100.3,10.06,30.28,47.226,0.84,8.06,6.704
7/28/2021,7:34:00,0.25,1.06,4.25,0.165,24.42,8.09,101.5,10.04,30.26,47.118,0.83,8.06,7.295
7/28/2021,7:36:00,0.25,1.05,4.2,0.165,24.59,8.15,102.8,10.03,30.23,47.008,0.69,8.06,7.86
7/28/2021,7:38:00,0.25,1.05,4.21,0.165,24.08,7.98,104.1,10.02,30.24,46.946,0.59,8.05,8.463
7/28/2021,7:40:00,0.25,1,4.02,0.165,24.33,8.06,105.1,10.01,30.22,46.863,0.72,8.05,8.985
7/28/2021,7:42:00,0.25,1.09,4.35,0.164,24.8,8.21,106.4,10,30.26,46.876,0.56,8.05,9.529
7/28/2021,7:44:00,0.25,1.05,4.21,0.164,24.81,8.22,107.5,9.98,30.27,46.837,0.66,8.04,10.088
7/28/2021,7:46:00,0.25,1,4.03,0.163,24.82,8.22,108.8,9.99,30.28,46.812,0.64,8.04,10.624
7/28/2021,7:48:00,0.25,1.03,4.13,0.163,23.95,7.93,110,9.97,30.27,46.746,0.65,8.04,11.23
7/28/2021,7:50:00,0.25,1.09,4.35,0.164,23.53,7.79,111.1,9.95,30.27,46.719,0.52,8.04,11.747
